Role,Required_Skills
INFORMATION-TECHNOLOGY,"Python,SQL,Docker,Linux,Git,REST API,JavaScript,HTML,CSS,Machine Learning,Cloud AWS,DevOps,CI/CD,MongoDB,PostgreSQL"
ENGINEERING,"AutoCAD,MATLAB,SolidWorks,Python,C++,PLC,SCADA,Mechanical Design,Finite Element Analysis,Project Management"
ACCOUNTANT,"MS Excel,Tally ERP,QuickBooks,SAP,Financial Reporting,Tax Preparation,Auditing,Budgeting,GAAP,Accounts Payable"
ADVOCATE,"Legal Research,Contract Drafting,Litigation,Corporate Law,Compliance,Legal Writing,Negotiation,Civil Law,Criminal Law,Intellectual Property"
AGRICULTURE,"Soil Science,Crop Management,Irrigation Systems,Pesticide Application,Agricultural Machinery,GIS,Food Safety,Supply Chain,Agronomy,Remote Sensing"
APPAREL,"Fashion Design,Adobe Illustrator,Photoshop,Pattern Making,Textile Knowledge,CAD,Trend Analysis,Merchandising,Quality Control,Supply Chain"
ARTS,"Adobe Creative Suite,Photoshop,Illustrator,InDesign,After Effects,Drawing,Typography,Branding,UI/UX,Video Editing"
AUTOMOBILE,"CAD,CATIA,MATLAB,Engine Diagnostics,Electrical Systems,Hybrid Vehicles,AutoCAD,Quality Control,Manufacturing,Six Sigma"
AVIATION,"FAA Regulations,Aircraft Systems,Navigation,Safety Management,Flight Operations,Air Traffic Control,Maintenance Planning,Avionics,Logistics,Risk Management"
BANKING,"Financial Analysis,Risk Management,Regulatory Compliance,Excel,SAP,Banking Software,Credit Analysis,AML,KYC,Portfolio Management"
BPO,"Customer Service,Data Entry,MS Office,CRM,Communication,Problem Solving,Quality Assurance,Outbound Calling,Inbound Support,Team Management"
BUSINESS-DEVELOPMENT,"Sales Strategy,CRM,Market Research,Negotiation,Lead Generation,Excel,PowerPoint,Client Relationship,Strategic Planning,Revenue Growth"
CHEF,"Food Safety,Menu Planning,Kitchen Management,Food Preparation,Inventory Control,HACCP,Budgeting,Team Leadership,Catering,Recipe Development"
CONSTRUCTION,"AutoCAD,MS Project,Primavera P6,Structural Analysis,Project Management,Safety Compliance,OSHA,Cost Estimation,BIM,Concrete Design"
CONSULTANT,"Business Analysis,Project Management,Strategy,Data Analysis,Excel,PowerPoint,Stakeholder Management,Change Management,Process Improvement,Agile"
DESIGNER,"Figma,Adobe XD,Photoshop,Illustrator,Prototyping,UI/UX Design,Wireframing,HTML,CSS,User Research"
DIGITAL-MEDIA,"Social Media Management,SEO,Content Creation,Google Analytics,Adobe Premiere,Copywriting,Email Marketing,PPC,Analytics,WordPress"
FINANCE,"Financial Modeling,Excel,Bloomberg,Python,R,Valuation,Risk Analysis,Portfolio Management,CFA,Corporate Finance"
FITNESS,"Personal Training,Nutrition,Exercise Science,Anatomy,Group Fitness,CPR Certified,Strength Training,HIIT,Yoga,Sports Medicine"
HEALTHCARE,"Patient Care,EMR,HIPAA,Clinical Documentation,Medical Coding,ICD-10,Nursing,Pharmacology,Phlebotomy,BLS CPR"
HR,"Recruitment,Talent Acquisition,HRIS,Performance Management,Employee Relations,Labor Law,Onboarding,Compensation,Payroll,ATS"
PUBLIC-RELATIONS,"Communications,Media Relations,Press Releases,Crisis Management,Brand Management,Social Media,Public Speaking,Event Planning,Stakeholder Engagement,Copywriting"
SALES,"Salesforce,CRM,Lead Generation,Cold Calling,Negotiation,B2B Sales,Forecasting,Account Management,Pipeline Management,Customer Retention"
TEACHER,"Curriculum Development,Lesson Planning,Classroom Management,Assessment,Educational Technology,Google Classroom,Special Education,Differentiated Instruction,Parent Communication,Student Counseling"
